Хиго-Мару. Вел. Океан	Тихий океан		Тихий океан
Христиания	Осло		Осло
Хювинккя			
Царицыно	IN: Москва		IN: Москва
Царское Село	Пушкин		Пушкин
Царское село	Пушкин		Пушкин
Царское Село. больница	Пушкин		Пушкин
Цеханов	Цеханув		Цеханув
Цюрих			
Часовня на Крестовском острове	IN: Петебург		IN: Петебург
Чатам. Нью Джерси	Чатем, Нью-Джерси		Чатем, Нью-Джерси
Чебени	Чебенли		Чебенли
Чебени, деревня	Чебенли		Чебенли
Черемушки. Московская губерния	IN: Москва		IN: Москва
Череповец			
Черное море			
Чимкент	Шымкент		Шымкент
Чита			
Чусовая			
Шафгаузен	Шаффхаузен		Шаффхаузен
Шахматово			
Шварцвальд			
Швейцария			
Шейхантаурское кладбище	IN: Ташкент		IN: Ташкент
Шереметевский дом	набережная реки Фонтанки, 34. IN: Петербург		набережная реки Фонтанки, 34
Шмецке. Гунгербург	Нарва-Йыэсуу		Нарва-Йыэсуу
Эдинбург II	Эдинбург		Эдинбург
Эношима	Эносима		Эносима
Эривань	Ереван		Ереван
Эртелево	CHECK		CHECK
Эст-Тойла	Тойла		Тойла
Эстерель-Агэ	Кап-Эстерель. Аге		Кап-Эстерель. Аге (два места)
Эстляндия. Lebe. Тойла	Эстония		Эстония
Эчмиадзин			
Югенгейм. Рейн	Югенхайм-ин-Райнхессен		Югенхайм-ин-Райнхессен
Юнгфрау			
Юрьевец			
Ялта			
Ярославль			
Яссы			
